"","wage","educ","exper","fulltime","hrswk","nkids","age","married","female","insurance","private","mcaid","mcare","metro","northeast","midwest","south","west","white","black","asian"
"1170",16.35,16,6,1,40,0,25,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1171",15,14,14,0,20,0,32,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1172",31.25,16,18,1,45,3,37,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1173",50,16,34,1,50,0,53,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1174",3.18,18,40,1,40,0,60,0,1,1,0,1,0,1,0,0,1,0,1,0,0
"1175",48.08,16,17,1,40,0,36,1,1,1,1,0,0,1,1,0,0,0,0,0,1
"1176",13,12,18,1,40,0,33,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"1177",18.28,13,20,1,40,0,36,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"1178",37.5,12,22,1,40,1,36,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1179",9.25,12,44,1,40,0,59,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"1180",33.65,18,9,1,40,0,29,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1181",13,12,14,1,40,4,29,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"1182",12.7,12,40,1,40,0,55,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"1183",14.44,13,51,0,20,0,67,1,1,1,1,0,1,1,0,0,1,0,1,0,0
"1184",11.57,12,20,1,0,0,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1185",16.83,12,42,1,40,0,57,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1186",9.38,6,25,1,40,4,34,0,1,1,0,1,0,1,0,0,0,1,1,0,0
"1187",8.87,13,6,0,8,0,22,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"1188",9,8,14,1,40,3,24,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"1189",7.92,12,26,0,30,3,41,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"1190",6,11,10,0,20,1,23,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"1191",8.53,13,39,1,40,0,55,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1192",19.23,12,16,1,40,0,31,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1193",47,16,27,1,45,1,46,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1194",8,14,32,1,38,1,49,0,1,1,0,0,1,1,0,0,1,0,1,0,0
"1195",28.85,12,39,1,40,0,54,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1196",14.76,13,10,1,45,0,26,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"1197",31.25,16,49,1,35,0,68,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"1198",19.23,12,38,1,40,0,53,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1199",18.08,14,12,1,40,0,29,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"1200",7,8,14,0,15,0,24,0,1,1,0,1,1,1,1,0,0,0,0,0,1
"1201",25,13,31,0,8,1,47,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1202",9,0,32,1,40,3,39,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"1203",21.63,18,32,1,40,0,52,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1204",12.03,13,12,1,40,2,28,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1205",57.68,16,34,1,40,0,53,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"1206",72.13,13,28,1,48,0,44,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"1207",27.25,16,9,1,60,0,28,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1208",8.93,13,13,0,30,1,29,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1209",12.5,16,57,0,16,0,76,1,0,1,1,0,1,1,0,1,0,0,1,0,0
"1210",34.06,18,14,1,48,2,34,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1211",14.15,14,38,1,40,0,56,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"1212",15,12,33,1,40,1,48,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"1213",9,6,25,1,40,0,34,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"1214",17.3,13,9,1,0,0,25,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"1215",10.5,14,5,0,20,1,23,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1216",16,13,27,0,30,1,43,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1217",10.5,14,13,0,15,0,31,0,1,1,0,1,0,0,1,0,0,0,1,0,0
"1218",7.7,14,38,1,40,0,56,0,0,1,1,0,0,1,0,0,0,1,0,0,1
"1219",12.86,13,31,1,25,1,47,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1220",24.05,14,18,1,40,2,36,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1221",15.38,16,29,1,40,1,48,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1222",29.91,16,27,1,55,0,46,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1223",14.5,18,17,0,20,1,37,0,1,1,0,1,0,1,1,0,0,0,1,0,0
"1224",16.83,14,35,1,40,2,53,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"1225",52.88,16,26,1,40,0,45,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1226",28.85,13,43,1,40,0,59,0,0,1,1,0,0,0,1,0,0,0,1,0,0
"1227",36.05,12,16,1,45,0,31,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1228",35,12,49,1,50,0,64,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1229",17.5,21,31,1,40,0,52,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1230",13.95,12,20,1,40,1,35,0,0,1,1,0,0,1,0,0,1,0,0,1,0
"1231",24.47,13,31,1,55,2,47,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1232",6.53,13,13,0,40,2,29,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"1233",27.88,16,7,1,40,0,26,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"1234",10,13,40,1,40,0,56,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"1235",11.6,8,39,1,40,1,49,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"1236",24.05,16,40,1,40,0,59,0,1,1,1,0,0,1,0,0,0,1,0,1,0
"1237",25.48,16,23,1,40,2,42,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1238",25,12,27,1,40,0,42,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"1239",14.43,14,22,1,40,0,40,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"1240",23.84,18,18,1,45,0,38,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1241",11,13,27,1,32,1,43,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"1242",27.5,12,23,0,30,0,38,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"1243",9.63,16,38,1,40,2,57,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"1244",11,12,21,1,40,2,35,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1245",42.2,14,6,1,40,0,23,0,1,1,1,0,0,1,0,0,0,1,0,0,1
"1246",14.23,14,29,1,40,0,47,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"1247",6.25,12,9,0,20,0,24,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"1248",21.33,13,26,1,40,2,42,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1249",33.65,16,35,1,40,2,54,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1250",15.05,14,4,1,40,0,22,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"1251",15,16,7,0,30,0,26,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"1252",46.14,16,32,1,50,0,51,1,1,1,1,0,0,1,0,0,0,1,0,0,1
"1253",37.5,13,35,1,40,0,51,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"1254",9.89,14,30,1,35,0,48,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1255",18.7,18,45,1,40,0,65,1,0,1,1,0,1,0,0,1,0,0,1,0,0
"1256",7.5,12,45,1,40,0,60,1,0,1,1,0,0,1,1,0,0,0,0,1,0
"1257",42.5,18,29,1,45,0,49,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1258",19,12,42,0,30,0,57,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1259",25,14,35,1,40,0,52,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"1260",7.53,12,7,1,40,0,22,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1261",19.48,18,22,1,40,0,42,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"1262",10.23,14,31,0,31,1,48,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1263",46.15,16,27,1,40,0,46,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"1264",21.5,13,33,1,40,0,49,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1265",44.87,18,42,1,40,1,62,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1266",15.63,12,47,1,40,0,62,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1267",12.67,12,20,1,45,0,35,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"1268",16.83,13,32,1,40,0,48,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1269",24.37,12,32,0,30,5,47,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"1270",13.06,12,7,1,45,1,22,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"1271",9.3,12,7,1,40,2,22,0,1,1,0,1,0,1,0,0,1,0,0,1,0
"1272",27.88,16,25,1,40,0,44,1,1,1,1,1,0,0,1,0,0,0,1,0,0
"1273",55.88,18,24,0,32,3,44,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1274",16.98,18,8,1,40,0,28,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1275",9.63,12,38,1,40,0,53,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"1276",15.4,12,13,1,60,1,28,0,0,1,0,1,0,1,0,0,0,1,0,1,0
"1277",18,16,27,1,40,0,46,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"1278",30,21,8,1,40,0,29,0,1,1,1,0,0,1,1,0,0,0,0,0,1
"1279",9.62,12,21,1,85,1,36,1,1,0,0,0,0,1,0,0,1,0,1,0,0
"1280",27.78,16,12,1,45,0,31,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1281",15.1,12,40,1,70,0,55,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1282",45.2,14,39,1,70,0,57,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1283",8.6,11,32,0,10,0,45,0,1,1,0,1,0,1,0,0,0,1,1,0,0
"1284",9.6,12,33,1,40,0,48,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"1285",16.25,16,57,0,20,0,76,1,0,1,1,0,1,1,0,1,0,0,1,0,0
"1286",17,13,10,1,40,0,26,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1287",21.25,12,29,1,40,0,44,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1288",31.25,18,35,1,40,0,55,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1289",27,13,29,1,47,0,45,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1290",13.47,18,31,1,60,0,51,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1291",55,16,25,0,32,2,44,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"1292",14,12,29,1,40,2,44,0,0,1,1,0,0,1,0,0,0,1,0,1,0
"1293",16,12,44,0,28,0,59,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1294",22.5,18,28,1,40,1,48,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1295",72.1,14,18,1,40,0,36,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1296",23.75,14,38,1,40,0,55,1,0,1,1,0,0,0,0,1,0,0,1,0,0
"1297",8.26,13,5,1,35,0,21,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1298",9,13,6,1,0,2,22,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"1299",12.5,16,5,1,40,0,24,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"1300",25.64,18,37,1,45,0,57,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1301",22.43,16,28,1,50,1,47,1,0,1,1,1,0,1,0,0,0,1,1,0,0
"1302",52.45,16,26,1,55,2,45,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1303",25.95,12,45,1,40,0,60,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1304",24.05,12,23,1,40,2,38,1,0,1,1,0,0,1,0,0,1,0,0,1,0
"1305",14,12,23,1,40,2,38,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1306",7.28,18,38,0,18,0,58,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1307",7.33,12,9,1,40,3,24,0,1,1,0,1,0,1,0,0,1,0,0,1,0
"1308",72.13,18,43,1,40,0,63,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1309",12.5,14,27,0,24,2,44,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1310",42.31,16,25,1,45,3,44,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1311",15.5,13,8,1,55,0,24,0,0,1,1,0,0,0,1,0,0,0,1,0,0
"1312",23.34,21,33,1,70,0,54,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1313",12.5,13,7,1,40,0,23,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"1314",14.43,14,32,1,40,0,50,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1315",14.95,16,14,1,40,1,33,0,1,1,1,0,0,0,0,0,1,0,0,1,0
"1316",7.7,9,24,1,40,3,35,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"1317",31.7,18,38,1,40,0,58,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"1318",72.13,12,26,1,40,0,41,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1319",19.22,14,33,1,36,0,51,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1320",19.23,13,8,1,44,0,24,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"1321",26.5,14,25,1,40,1,43,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"1322",16.7,12,19,1,44,0,34,0,0,1,1,1,0,1,0,0,1,0,1,0,0
"1323",13,13,45,1,40,0,61,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"1324",21.15,12,11,1,40,0,26,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"1325",13.5,14,10,1,30,1,28,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"1326",26,12,27,1,40,0,42,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1327",6.92,13,48,1,50,0,64,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"1328",48.08,16,46,1,40,0,65,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1329",24.29,16,41,1,40,0,60,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1330",9.39,12,46,1,38,0,61,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1331",7.2,8,33,0,40,9,43,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"1332",40.38,18,9,1,40,0,29,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1333",48.08,21,48,1,60,0,69,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1334",18.36,10,10,1,84,0,22,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"1335",12.5,13,38,1,40,0,54,0,0,1,1,0,0,1,1,0,0,0,0,1,0
"1336",27.69,18,35,1,45,0,55,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"1337",8.86,10,23,1,36,3,35,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1338",12.5,10,43,1,40,0,55,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"1339",6.15,12,50,0,20,0,65,1,1,1,0,0,1,0,0,1,0,0,1,0,0
"1340",3.75,10,25,1,40,1,37,1,1,0,0,0,0,0,0,0,1,0,1,0,0
"1341",64.11,21,15,1,50,0,37,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1342",9.39,12,26,0,28,2,41,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1343",33.65,13,42,1,40,0,58,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1344",13.95,12,35,1,40,0,50,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1345",22.6,12,50,1,40,0,65,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1346",14.4,12,44,1,40,0,59,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"1347",9.6,16,6,0,30,0,25,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1348",24.03,14,34,1,40,2,51,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1349",12.13,16,11,1,40,0,30,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1350",9,8,35,0,20,1,45,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1351",21.36,18,11,1,40,0,31,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1352",24,16,14,1,40,0,33,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1353",15.7,12,29,1,40,2,44,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"1354",12,12,38,1,40,0,53,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"1355",11.53,18,16,1,0,2,36,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"1356",24.05,16,3,1,40,0,22,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1357",20.2,16,23,1,40,2,42,1,0,1,1,0,0,1,0,0,0,1,0,0,1
"1358",14.97,13,32,1,35,2,48,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1359",12.29,14,11,1,35,0,28,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1360",14.4,16,11,1,40,0,30,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1361",28.85,16,4,1,40,0,23,0,0,1,1,0,0,1,0,0,1,0,0,0,1
"1362",10.7,14,22,1,40,2,40,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1363",16.35,12,38,1,45,1,53,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"1364",10,13,41,1,40,0,57,0,0,1,1,0,0,1,0,0,1,0,1,0,0
"1365",52.5,12,25,1,40,3,40,1,0,1,1,0,0,1,0,0,1,0,0,1,0
"1366",11,16,19,1,40,3,38,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1367",36.05,14,27,1,40,2,44,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1368",57.7,18,29,1,50,1,49,1,0,1,1,0,0,1,0,1,0,0,0,0,1
"1369",16.13,13,24,1,40,1,40,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1370",7.14,12,7,1,35,1,21,0,1,0,0,0,0,1,0,0,0,1,1,0,0
"1371",51.93,16,48,1,40,0,67,0,0,1,1,0,1,1,0,0,1,0,1,0,0
"1372",43.7,11,38,1,40,0,51,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1373",12,16,13,0,8,2,32,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1374",9,14,10,1,40,0,28,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1375",31.25,16,29,1,40,1,48,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1376",15.5,14,11,1,40,0,29,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1377",22,16,41,1,40,0,60,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"1378",16.7,12,13,1,40,0,28,0,1,1,1,0,0,1,1,0,0,0,1,0,0
"1379",14.57,12,55,1,50,0,69,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"1380",7.5,12,29,1,40,0,44,1,1,1,1,0,0,1,0,1,0,0,0,1,0
"1381",30,16,20,1,40,1,39,0,1,1,1,0,0,0,0,0,0,1,0,0,1
"1382",18.08,13,18,1,40,3,34,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"1383",11,16,50,1,40,0,69,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1384",20.36,12,28,1,55,0,43,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1385",18.28,13,12,1,40,2,28,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1386",28.85,16,33,1,40,0,52,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1387",16,12,40,1,40,0,55,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1388",15.6,12,23,1,40,2,37,0,1,1,0,1,0,0,1,0,0,0,1,0,0
"1389",10,12,28,1,40,2,43,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1390",18.46,21,50,1,40,0,71,1,0,1,1,0,1,1,0,0,1,0,1,0,0
"1391",28.83,14,18,1,60,0,35,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"1392",24.05,16,12,1,40,1,31,1,0,1,1,0,0,1,1,0,0,0,1,0,0
"1393",28.85,16,21,1,40,2,40,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1394",26.9,13,23,1,40,3,39,0,1,1,0,1,0,1,1,0,0,0,1,0,0
"1395",42.5,14,31,1,40,1,49,1,1,1,1,0,0,1,0,0,1,0,0,1,0
"1396",17.48,14,43,1,33,0,61,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1397",33.65,16,22,1,40,0,41,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1398",39.68,14,14,1,40,0,31,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1399",13.7,12,8,0,20,2,23,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1400",14.43,12,41,1,55,0,56,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"1401",13.75,12,14,1,40,0,29,1,0,1,1,0,0,1,0,1,0,0,0,1,0
"1402",12.44,16,40,1,34,0,59,0,1,1,1,0,0,0,0,0,0,1,1,0,0
"1403",9.25,12,38,1,0,0,53,1,1,1,1,0,0,1,0,0,1,0,0,0,1
"1404",9,10,30,1,40,3,42,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"1405",24.8,18,15,1,40,2,35,1,1,1,1,0,0,1,0,0,0,1,0,1,0
"1406",12.98,12,47,1,40,0,62,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1407",5,13,6,0,40,0,22,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1408",15,12,29,1,40,1,44,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"1409",19.23,12,15,1,40,2,30,1,0,1,1,0,0,1,0,0,0,1,0,1,0
"1410",17,13,41,1,50,0,57,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1411",16.67,21,11,1,60,0,32,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1412",33.25,16,29,1,40,0,48,0,1,1,1,0,0,1,0,0,1,0,0,1,0
"1413",46.15,21,20,1,60,0,42,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1414",33.65,12,27,1,40,0,42,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1415",17.3,14,16,1,40,0,34,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1416",51.56,18,41,1,57,0,61,1,0,1,1,0,0,1,0,1,0,0,1,0,0
"1417",10,16,12,1,40,1,31,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1418",55.56,16,14,1,0,2,33,1,1,1,1,0,0,1,1,0,0,0,0,0,1
"1419",27.78,14,22,1,45,0,39,0,1,1,1,0,0,1,1,0,0,0,0,1,0
"1420",6.73,13,5,0,20,0,21,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1421",45.92,14,18,1,40,2,36,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1422",11.55,12,32,1,40,0,47,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1423",28.85,13,45,1,40,0,61,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1424",25,18,17,1,40,2,37,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"1425",25.18,16,10,1,55,2,29,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1426",8,16,7,1,40,0,26,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"1427",8,12,32,0,25,0,47,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"1428",7.9,12,31,1,40,1,46,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"1429",19.22,16,19,1,45,3,38,1,0,1,1,0,0,0,1,0,0,0,1,0,0
"1430",7.5,12,25,1,40,1,40,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"1431",16.25,16,3,0,40,0,22,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1432",36.05,16,8,1,40,0,27,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1433",7.5,12,8,0,20,2,22,0,1,1,0,1,0,1,1,0,0,0,1,0,0
"1434",34.6,12,25,1,40,3,40,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1435",24.05,16,20,1,40,1,39,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1436",33,14,34,1,36,0,52,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1437",7.2,10,30,1,40,0,42,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1438",14,12,40,1,40,0,55,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1439",6.9,13,6,1,25,0,22,0,1,1,0,1,0,1,0,1,0,0,1,0,0
"1440",21.63,16,42,1,40,0,61,1,0,1,1,0,0,1,0,0,1,0,1,0,0
"1441",69.23,21,8,1,40,0,29,0,1,1,1,0,0,1,0,1,0,0,1,0,0
"1442",24,14,29,1,40,2,47,1,1,1,1,0,0,1,0,0,0,1,1,0,0
"1443",10,10,9,0,25,0,21,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"1444",14.95,12,31,1,40,2,46,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1445",6.44,13,59,0,18,0,75,0,1,1,1,0,1,0,0,1,0,0,1,0,0
"1446",11,11,10,1,40,4,23,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"1447",14.43,12,40,1,40,0,55,1,0,1,1,1,0,1,1,0,0,0,1,0,0
"1448",14.58,12,28,0,24,0,43,1,1,1,1,0,0,0,0,0,0,1,1,0,0
"1449",14.43,16,4,1,40,0,23,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"1450",16.11,12,37,1,37,0,52,1,1,1,1,0,0,0,0,0,1,0,1,0,0
"1451",20,12,17,1,44,0,32,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"1452",23.84,18,42,1,50,2,62,0,0,1,1,0,0,1,0,0,0,1,1,0,0
"1453",10,13,5,0,20,0,21,0,1,1,1,0,0,1,0,0,0,1,1,0,0
"1454",19.7,13,10,1,40,3,26,1,0,1,1,0,0,0,0,0,0,1,1,0,0
"1455",20.18,14,13,1,40,0,31,0,0,1,1,0,0,1,1,0,0,0,1,0,0
"1456",16,6,37,1,40,2,46,1,0,1,1,0,0,1,0,0,0,1,1,0,0
"1457",14.51,12,10,1,45,0,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1458",8.25,12,25,1,40,0,40,1,1,1,1,0,0,1,1,0,0,0,1,0,0
"1459",22.3,18,7,1,50,0,27,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"1460",34.6,16,22,1,40,0,41,0,1,1,1,0,0,1,0,0,1,0,1,0,0
"1461",5.84,13,41,0,25,0,57,1,1,0,0,0,0,0,0,1,0,0,1,0,0
